Facility,County,Type,Lat,Lon,Power source,Outage hrs/wk,UPS,Backup system,Internet type,Download Mbps,Upload Mbps,Uptime %,Latency,Mobile signal,Laptops,Desktops,Tablets,Networking devices,In-survey literacy %,Health Centerian documents?,Dedicated IT support?,Support channel (Ops),Record method,On-time reporting,Client ID,DHIS2 reporting,Operational?
Massaquoi Town Health Center,Margibi,Health Center,6.68,-10.18,Solar / Inverter,10,,Multiple backup systems (specify below),,,,,,Strong (above -70 dBm),0,0,1,0,60,No - No Health Centerian,No,Integrated and routine,Paper only,>=90% on time,Yes - Inconsistently,Yes - consistently,Yes
New Georgia Community Health Center,Montserrado,Health Center,6.35,-10.76,Grid,2.94,,Generator only,,,,,,Weak (-85 to -100 dBm),0,0,0,0,66,No - No Health Centerian,No,Integrated and routine,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
Nyehn Health Center,Montserrado,Health Center,6.55,-10.49,Generator,6,,,Starlink,61.8,22.4,80,Moderate (80-200ms),Weak (-85 to -100 dBm),1,0,0,2,78,No - No Health Centerian,No,Integrated and routine,Paper only,>=90% on time,Yes - Inconsistently,Yes - consistently,Yes
Pipeline Health Center,Montserrado,Health Center,6.3,-10.69,Grid,6,,Generator only,,,,,,Moderate (-70 to -85 dBm),1,0,0,0,73,No - No Health Centerian,No,,Paper only,70-89% on time,Yes - routinely,Yes - consistently,Yes
Pleebo Health Center,Maryland,Health Center,4.6,-7.67,Generator,0,,Multiple backup systems (specify below),3G 4G Starlink Wi-Fi,11.98,12.07,100,Moderate (80-200ms),Moderate (-70 to -85 dBm),6,2,1,0,64,No - No Health Centerian,No,,Hybrid (paper + digital),>=90% on time,Yes - routinely,Yes - consistently,Yes
RH Ferguson Health Center,Montserrado,Health Center,6.32,-10.73,Grid,42,,Generator only,,,,,,Weak (-85 to -100 dBm),2,0,0,0,66,No - No Health Centerian,No,Integrated and routine,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
Sacleapea Comprehensive Health Center,Nimba,Health Center,6.98,-8.84,Grid,22,,Generator only,,,,,,None (below -100 dBm or no signal),7,2,0,0,72,No - No Health Centerian,No,Exists but inconsistent usage,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
Sarbo Health Center,River Gee,Health Center,5.13,-7.73,Grid,68,,Generator only,,,,,,None (below -100 dBm or no signal),0,0,0,0,70,No - No Health Centerian,No,,Paper only,70-89% on time,No unique ID,Yes - consistently,Yes
Sinje Health Center,Grand Cape Mount,Health Center,6.82,-11.14,Solar / Inverter,0,,Multiple backup systems (specify below),,,,,,Weak (-85 to -100 dBm),4,0,0,0,78,No - No Health Centerian,No,Integrated and routine,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
Soniwen Health Center,Montserrado,Health Center,6.31,-10.8,Grid,21,Some workstations,Solar / Inverter only,,,,,,Weak (-85 to -100 dBm),2,0,0,0,66,No - No Health Centerian,No,Integrated and routine,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
Unification Town Health Center,Margibi,Health Center,6.25,-10.35,Grid,24,,,,,,,,Moderate (-70 to -85 dBm),0,0,0,0,45,No - No Health Centerian,No,,Paper only,>=90% on time,Yes - Inconsistently,Yes - consistently,Yes
Vahun Health Center,Lofa,Health Center,8.06,-10.5,Generator,140,,Generator only,Starlink,12.2,3.77,90,High / unstable (>200ms),None (below -100 dBm or no signal),3,2,0,0,84,No - No Health Centerian,No,Exists but inconsistent usage,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
WAHO  Health Center,Grand Cape Mount,Health Center,7.01,-11.37,Solar / Inverter,24,,Multiple backup systems (specify below),,,,,,Weak (-85 to -100 dBm),2,0,1,0,70,No - No Health Centerian,No,Integrated and routine,Paper only,>=90% on time,Yes - routinely,Yes - consistently,Yes
